,district,prostitution,cartheft,total
0,BAYVIEW,11,2121,15739
1,CENTRAL,70,1193,13622
2,INGLESIDE,5,2319,14008
3,MISSION,713,2063,21163
4,NORTHERN,581,1879,18975
5,PARK,2,1207,8219
6,RICHMOND,15,1081,7692
7,SOUTHERN,18,1426,25692
8,TARAVAL,10,1665,11329
9,TENDERLOIN,527,371,12737
