,district,prostitution,cartheft,total
0,BAYVIEW,131,14727,189359
1,CENTRAL,1707,8939,184686
2,INGLESIDE,67,18905,168097
3,MISSION,7096,15399,253378
4,NORTHERN,3873,13294,226600
5,PARK,14,8552,106392
6,RICHMOND,52,8666,96512
7,SOUTHERN,401,10030,335978
8,TARAVAL,247,12912,140757
9,TENDERLOIN,1975,2098,170891
