,Hour,total
0,0,4288
1,1,2949
2,2,2362
3,3,1445
4,4,1103
5,5,1111
6,6,1589
7,7,2838
8,8,4059
9,9,3970
10,10,3699
11,11,3320
12,12,4876
13,13,3486
14,14,4078
15,15,4811
16,16,5697
17,17,7571
18,18,9245
19,19,8084
20,20,8434
21,21,8243
22,22,8669
23,23,7595
