X,Y,k2
-122.4064017,37.78661446,0
-122.4082017,37.78688491,0
-122.408231,37.7873595,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.4183512,37.7570134,1
-122.4159299,37.760433,1
-122.4159299,37.760433,1
-122.4179645,37.75869682,1
-122.4150669,37.78356348,0
-122.4279663,37.71182294,1
-122.4279663,37.71182294,1
-122.4279663,37.71182294,1
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4279663,37.71182294,1
-122.4279663,37.71182294,1
-122.4279663,37.71182294,1
-122.4279663,37.71182294,1
-122.4279663,37.71182294,1
-122.417665,37.75629054,1
-122.4168729,37.75876402,1
-122.4159216,37.75961232,1
-122.417665,37.75629054,1
-122.4157813,37.75883121,1
-122.4055395,37.79621763,0
-122.4055395,37.79621763,0
-122.405284,37.79655105,0
-122.405284,37.79655105,0
-122.4181201,37.76030123,1
-122.4171804,37.76196742,1
-122.4041954,37.79122552,0
-122.4041954,37.79122552,0
-122.4041954,37.79122552,0
-122.4034641,37.77852338,0
-122.4163311,37.758852,1
-122.4186568,37.76021344,1
-122.4157813,37.75883121,1
-122.4045056,37.75958505,1
-122.4181089,37.75948013,1
-122.4595646,37.72469269,1
-122.4595646,37.72469269,1
-122.4350813,37.73889516,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4178126,37.75710058,1
-122.4193604,37.7618358,1
-122.4157813,37.75883121,1
-122.4418116,37.79900194,0
-122.4418116,37.79900194,0
-122.4053965,37.7935249,0
-122.406981,37.79463732,0
-122.4041954,37.79122552,0
-122.4208147,37.78362787,0
-122.4509294,37.72252085,1
-122.4509294,37.72252085,1
-122.4509294,37.72252085,1
-122.4509294,37.72252085,1
-122.4509294,37.72252085,1
-122.4509294,37.72252085,1
-122.4509294,37.72252085,1
-122.4509294,37.72252085,1
-122.4509294,37.72252085,1
-122.4161677,37.75714476,1
-122.4181201,37.76030123,1
-122.4159299,37.760433,1
-122.4170284,37.76036569,1
-122.4181201,37.76030123,1
-122.4157703,37.75801183,1
-122.416721,37.75716778,1
-122.4159299,37.760433,1
-122.4179645,37.75869682,1
-122.4178126,37.75710058,1
-122.4174133,37.75867648,1
-122.4509294,37.72252085,1
-122.4509294,37.72252085,1
-122.4509294,37.72252085,1
-122.4509294,37.72252085,1
-122.4043041,37.74421808,1
-122.4239919,37.75269596,1
-122.4181089,37.75948013,1
-122.4179645,37.75869682,1
-122.4159299,37.760433,1
-122.4168636,37.75794595,1
-122.4595646,37.72469269,1
-122.4178179,37.75788844,1
-122.4179645,37.75869682,1
-122.4171804,37.76196742,1
-122.4179645,37.75869682,1
-122.4148451,37.76050007,1
-122.4159299,37.760433,1
-122.4179645,37.75869682,1
-122.4178126,37.75710058,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4743081,37.71664253,1
-122.4106997,37.78698819,0
-122.4160784,37.76203479,1
-122.4127773,37.78683439,0
-122.3920044,37.73748895,1
-122.4752851,37.7162578,1
-122.4143901,37.78854528,0
-122.4071145,37.78990198,0
-122.4059415,37.79046318,0
-122.405284,37.79655105,0
-122.4117474,37.78599883,0
-122.4144578,37.77650804,0
-122.4065391,37.75648641,1
-122.4065391,37.75648641,1
-122.4096862,37.78620421,0
-122.4097562,37.78691269,0
-122.4097562,37.78691269,0
-122.4098766,37.78714881,0
-122.4058325,37.78574465,0
-122.4082017,37.78688491,0
-122.408231,37.7873595,0
-122.4179645,37.75869682,1
-122.4157813,37.75883121,1
-122.4159299,37.760433,1
-122.4156293,37.75723223,1
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4220627,37.78992,0
-122.4098882,37.80602553,0
-122.4098766,37.78714881,0
-122.4080405,37.7864094,0
-122.4090552,37.78719796,0
-122.4098766,37.78714881,0
-122.4085197,37.78640447,0
-122.4080405,37.7864094,0
-122.4072441,37.78656476,0
-122.4078542,37.7854922,0
-122.4096862,37.78620421,0
-122.4098766,37.78714881,0
-122.4179645,37.75869682,1
-122.408231,37.7873595,0
-122.4096862,37.78620421,0
-122.4082017,37.78688491,0
-122.4080405,37.7864094,0
-122.4098766,37.78714881,0
-122.4096862,37.78620421,0
-122.408231,37.7873595,0
-122.4115188,37.7869409,0
-122.4179558,37.75788012,1
-122.4080405,37.7864094,0
-122.4090552,37.78719796,0
-122.4182219,37.74816641,1
-122.4182219,37.74816641,1
-122.5021487,37.77554963,1
-122.4193173,37.7879137,0
-122.4142014,37.78761094,0
-122.4053965,37.7935249,0
-122.4127822,37.80566547,0
-122.4098766,37.78714881,0
-122.3868518,37.71750911,1
-122.4167082,37.76847157,1
-122.4167082,37.76847157,1
-122.4221883,37.77269482,1
-122.4012072,37.7220291,1
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.4192083,37.76023408,1
-122.4179645,37.75869682,1
-122.4008163,37.788817,0
-122.5064701,37.76034545,1
-122.4179976,37.77695511,0
-122.4172733,37.78614939,0
-122.404828,37.78975969,0
-122.4038915,37.79871532,0
-122.4170284,37.76036569,1
-122.4483071,37.73565064,1
-122.4483071,37.73565064,1
-122.4483071,37.73565064,1
-122.4085507,37.77738856,0
-122.4085507,37.77738856,0
-122.4179645,37.75869682,1
-122.4775503,37.76173067,1
-122.4775503,37.76173067,1
-122.4775503,37.76173067,1
-122.4217338,37.76329969,1
-122.4685108,37.71971697,1
-122.4613465,37.77741043,0
-122.4957312,37.7758429,0
-122.4909444,37.75354772,1
-122.4813093,37.75408225,1
-122.4813093,37.75408225,1
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.400916,37.78545749,0
-122.4181201,37.76030123,1
-122.5042063,37.75019222,1
-122.5042063,37.75019222,1
-122.4034048,37.77542071,0
-122.4179645,37.75869682,1
-122.4850387,37.76129114,1
-122.4850387,37.76129114,1
-122.4850387,37.76129114,1
-122.4053965,37.7935249,0
-122.4128571,37.78558044,0
-122.416033,37.78833512,0
-122.4393296,37.78197885,0
-122.3929259,37.79091621,0
-122.4839041,37.7184873,1
-122.4183688,37.78748616,0
-122.4727078,37.77775288,0
-122.3977444,37.72993469,1
-122.3973888,37.78255435,0
-122.4178126,37.75710058,1
-122.4220627,37.78992,0
-122.4220627,37.78992,0
