,district,prostitution,cartheft,total
0,BAYVIEW,6,981,14353
1,CENTRAL,44,549,18368
2,INGLESIDE,4,1366,13133
3,MISSION,66,1195,18312
4,NORTHERN,42,942,19804
5,PARK,1,639,9221
6,RICHMOND,9,561,8970
7,SOUTHERN,96,793,29709
8,TARAVAL,78,786,11752
9,TENDERLOIN,23,112,10584
