,X,Y,k,centroid
230,-122.408040475,37.7864094034,3,False
231,-122.409876623,37.787148808,3,False
232,-122.409686192,37.7862042105,3,False
233,-122.408231026,37.787359495,3,False
234,-122.41151882,37.7869408999,3,False
235,-122.417955822,37.7578801214,1,False
236,-122.408040475,37.7864094034,3,False
237,-122.409055191,37.7871979591,3,False
238,-122.418221946,37.7481664084,1,False
239,-122.418221946,37.7481664084,1,False
240,-122.502148729,37.7755496262,4,False
241,-122.419317324,37.7879136979,0,False
242,-122.414201442,37.7876109395,0,False
243,-122.405396537,37.793524904,3,False
244,-122.412782237,37.8056654685,0,False
245,-122.409876623,37.787148808,3,False
246,-122.386851784,37.7175091052,1,False
247,-122.416708154,37.7684715664,1,False
248,-122.416708154,37.7684715664,1,False
249,-122.422188261,37.7726948237,1,False
250,-122.401207222,37.7220290973,1,False
251,-122.400916029,37.7854574903,3,False
252,-122.400916029,37.7854574903,3,False
253,-122.400916029,37.7854574903,3,False
254,-122.400916029,37.7854574903,3,False
255,-122.400916029,37.7854574903,3,False
256,-122.41920825,37.7602340754,1,False
257,-122.417964484,37.7586968166,1,False
258,-122.400816276,37.788817004,3,False
259,-122.506470086,37.7603454517,4,False
260,-122.417997608,37.7769551138,0,False
261,-122.417273345,37.7861493948,0,False
262,-122.404828019,37.7897596938,3,False
263,-122.403891536,37.798715319,3,False
264,-122.417028392,37.7603656932,1,False
265,-122.448307079,37.7356506399,2,False
266,-122.448307079,37.7356506399,2,False
267,-122.448307079,37.7356506399,2,False
268,-122.408550682,37.7773885566,3,False
269,-122.408550682,37.7773885566,3,False
270,-122.417964484,37.7586968166,1,False
271,-122.47755034,37.7617306685,4,False
272,-122.47755034,37.7617306685,4,False
273,-122.47755034,37.7617306685,4,False
274,-122.421733768,37.7632996946,1,False
275,-122.468510801,37.7197169663,2,False
276,-122.461346511,37.7774104345,4,False
277,-122.495731177,37.7758429042,4,False
278,-122.49094436,37.7535477247,4,False
279,-122.481309337,37.754082245,4,False
280,-122.481309337,37.754082245,4,False
281,-122.400916029,37.7854574903,3,False
282,-122.400916029,37.7854574903,3,False
283,-122.400916029,37.7854574903,3,False
284,-122.400916029,37.7854574903,3,False
285,-122.400916029,37.7854574903,3,False
286,-122.400916029,37.7854574903,3,False
287,-122.400916029,37.7854574903,3,False
288,-122.400916029,37.7854574903,3,False
289,-122.400916029,37.7854574903,3,False
290,-122.400916029,37.7854574903,3,False
291,-122.400916029,37.7854574903,3,False
292,-122.400916029,37.7854574903,3,False
293,-122.418120086,37.760301234,1,False
294,-122.504206336,37.7501922192,4,False
295,-122.504206336,37.7501922192,4,False
296,-122.403404791,37.7754207067,3,False
297,-122.417964484,37.7586968166,1,False
298,-122.48503873,37.7612911364,4,False
299,-122.48503873,37.7612911364,4,False
300,-122.48503873,37.7612911364,4,False
301,-122.405396537,37.793524904,3,False
302,-122.412857127,37.7855804362,0,False
303,-122.416032977,37.7883351248,0,False
304,-122.439329635,37.7819788534,0,False
305,-122.392925908,37.7909162094,3,False
306,-122.48390412,37.7184872987,2,False
307,-122.418368839,37.7874861572,0,False
308,-122.472707845,37.7777528845,4,False
309,-122.397744427,37.7299346936,1,False
310,-122.397388785,37.7825543452,3,False
311,-122.417812559,37.7571005796,1,False
312,-122.42206273,37.7899200015,0,False
313,-122.42206273,37.7899200015,0,False
314,-122.42206273,37.7899200015,0,False
315,-122.42206273,37.7899200015,0,False
316,-122.42206273,37.7899200015,0,False
317,-122.42206273,37.7899200015,0,False
318,-122.42206273,37.7899200015,0,False
319,-122.42206273,37.7899200015,0,False
320,-122.42206273,37.7899200015,0,False
321,-122.42206273,37.7899200015,0,False
322,-122.42206273,37.7899200015,0,False
323,-122.42206273,37.7899200015,0,False
324,-122.42206273,37.7899200015,0,False
325,-122.42206273,37.7899200015,0,False
326,-122.42206273,37.7899200015,0,False
327,-122.42206273,37.7899200015,0,False
328,-122.42206273,37.7899200015,0,False
329,-122.42206273,37.7899200015,0,False
330,-122.42206273,37.7899200015,0,False
331,-122.42206273,37.7899200015,0,False
332,-122.42206273,37.7899200015,0,False
333,-122.439819027,37.7141051921,2,False
334,-122.413797083,37.7602740352,1,False
335,-122.417970955,37.7594884557,1,False
336,-122.403404791,37.7754207067,3,False
337,-122.400916029,37.7854574903,3,False
338,-122.400916029,37.7854574903,3,False
339,-122.400916029,37.7854574903,3,False
340,-122.400916029,37.7854574903,3,False
341,-122.400916029,37.7854574903,3,False
342,-122.400916029,37.7854574903,3,False
343,-122.400916029,37.7854574903,3,False
344,-122.400916029,37.7854574903,3,False
345,-122.411569592,37.7582649135,1,False
346,-122.411569592,37.7582649135,1,False
347,-122.412457953,37.7147347357,2,False
348,-122.43217156,37.722349838,2,False
349,-122.509644694,37.7752065367,4,False
350,-122.419561596,37.7632161069,1,False
351,-122.42243554,37.7917625984,0,False
352,-122.417964484,37.7586968166,1,False
353,-122.410699658,37.7869881885,3,False
354,-122.410699658,37.7869881885,3,False
355,-122.410699658,37.7869881885,3,False
356,-122.410699658,37.7869881885,3,False
357,-122.410699658,37.7869881885,3,False
358,-122.410699658,37.7869881885,3,False
359,-122.410699658,37.7869881885,3,False
360,-122.410699658,37.7869881885,3,False
361,-122.410699658,37.7869881885,3,False
362,-122.410699658,37.7869881885,3,False
363,-122.410699658,37.7869881885,3,False
364,-122.421701514,37.773641216,1,False
365,-122.417812559,37.7571005796,1,False
366,-122.404828019,37.7897596938,3,False
367,-122.404195425,37.7912255174,3,False
368,-122.417180449,37.7619674218,1,False
369,-122.400916029,37.7854574903,3,False
370,-122.400916029,37.7854574903,3,False
371,-122.400916029,37.7854574903,3,False
372,-122.400916029,37.7854574903,3,False
373,-122.400916029,37.7854574903,3,False
374,-122.400916029,37.7854574903,3,False
375,-122.400916029,37.7854574903,3,False
376,-122.400916029,37.7854574903,3,False
377,-122.400916029,37.7854574903,3,False
378,-122.400916029,37.7854574903,3,False
379,-122.400916029,37.7854574903,3,False
380,-122.400916029,37.7854574903,3,False
381,-122.400916029,37.7854574903,3,False
382,-122.400916029,37.7854574903,3,False
383,-122.400916029,37.7854574903,3,False
384,-122.414845139,37.7605000726,1,False
385,-122.417955822,37.7578801214,1,False
386,-122.415921585,37.7596123169,1,False
387,-122.417997608,37.7769551138,0,False
388,-122.470190416,37.7808757917,4,False
389,-122.426508142,37.7859342572,0,False
390,-122.411747372,37.7859988324,3,False
391,-122.407114491,37.7899019823,3,False
392,-122.405941469,37.790463178,3,False
393,-122.388379874,37.7833104067,3,False
394,-122.388379874,37.7833104067,3,False
395,-122.388379874,37.7833104067,3,False
396,-122.388379874,37.7833104067,3,False
397,-122.388379874,37.7833104067,3,False
398,-122.388379874,37.7833104067,3,False
399,-122.388379874,37.7833104067,3,False
400,-122.388379874,37.7833104067,3,False
401,-122.403404791,37.7754207067,3,False
402,-122.403404791,37.7754207067,3,False
403,-122.388379874,37.7833104067,3,False
404,-122.388379874,37.7833104067,3,False
405,-122.388379874,37.7833104067,3,False
406,-122.388379874,37.7833104067,3,False
407,-122.388379874,37.7833104067,3,False
408,-122.388379874,37.7833104067,3,False
409,-122.417817853,37.7578884408,1,False
410,-122.410699658,37.7869881885,3,False
411,-122.410699658,37.7869881885,3,False
412,-122.410699658,37.7869881885,3,False
413,-122.417955822,37.7578801214,1,False
414,-122.409660752,37.7864394525,3,False
415,-122.466204668,37.7725405392,4,False
416,-122.403404791,37.7754207067,3,False
417,-122.490170247,37.7424682354,4,False
418,-122.481592052,37.7427355501,4,False
419,-122.504883711,37.7530422086,4,False
420,-122.469628051,37.7817199969,4,False
421,-122.441811628,37.7990019437,0,False
422,-122.47548463,37.7383655655,4,False
423,-122.400916029,37.7854574903,3,False
424,-122.400916029,37.7854574903,3,False
425,-122.400916029,37.7854574903,3,False
426,-122.400916029,37.7854574903,3,False
427,-122.400916029,37.7854574903,3,False
428,-122.400916029,37.7854574903,3,False
429,-122.400916029,37.7854574903,3,False
430,-122.400916029,37.7854574903,3,False
431,-122.400916029,37.7854574903,3,False
432,-122.400916029,37.7854574903,3,False
433,-122.400916029,37.7854574903,3,False
434,-122.400916029,37.7854574903,3,False
435,-122.400916029,37.7854574903,3,False
436,-122.400916029,37.7854574903,3,False
437,-122.400916029,37.7854574903,3,False
438,-122.400916029,37.7854574903,3,False
439,-122.400916029,37.7854574903,3,False
440,-122.400916029,37.7854574903,3,False
441,-122.400916029,37.7854574903,3,False
442,-122.400916029,37.7854574903,3,False
443,-122.400916029,37.7854574903,3,False
444,-122.400916029,37.7854574903,3,False
445,-122.400916029,37.7854574903,3,False
446,-122.400916029,37.7854574903,3,False
447,-122.400916029,37.7854574903,3,False
448,-122.400916029,37.7854574903,3,False
449,-122.458860616,37.7812550935,4,False
450,-122.415781282,37.7588312135,1,False
451,-122.417964484,37.7586968166,1,False
452,-122.478349616,37.7513339692,4,False
453,-122.417964484,37.7586968166,1,False
454,-122.408648589,37.7849124714,3,False
455,-122.436194485,37.7227270384,2,False
456,-122.408384276,37.7878271137,3,False
457,-122.408384276,37.7878271137,3,False
458,-122.408384276,37.7878271137,3,False
459,-122.471250259,37.7805788609,4,False
460,-122.406981047,37.7946373197,3,False
461,-122.404767636,37.7946646538,3,False
462,-122.403904789,37.7941711833,3,False
463,-122.400916029,37.7854574903,3,False
464,-122.400916029,37.7854574903,3,False
465,-122.423682814,37.796204621,0,False
466,-122.423682814,37.796204621,0,False
467,-122.410699658,37.7869881885,3,False
468,-122.410699658,37.7869881885,3,False
469,-122.410699658,37.7869881885,3,False
470,-122.418738266,37.7546172382,1,False
471,-122.418120086,37.760301234,1,False
472,-122.417028392,37.7603656932,1,False
473,-122.385001534,37.7330708174,1,False
474,-122.416720982,37.7571677817,1,False
475,-122.416472035,37.7603453746,1,False
476,-122.417970955,37.7594884557,1,False
477,-122.41592985,37.7604330004,1,False
478,-122.410699658,37.7869881885,3,False
479,-122.410699658,37.7869881885,3,False
480,-122.410699658,37.7869881885,3,False
481,-122.410699658,37.7869881885,3,False
482,-122.410699658,37.7869881885,3,False
483,-122.410699658,37.7869881885,3,False
484,-122.410699658,37.7869881885,3,False
485,-122.410699658,37.7869881885,3,False
486,-122.410699658,37.7869881885,3,False
487,-122.410699658,37.7869881885,3,False
488,-122.410699658,37.7869881885,3,False
489,-122.410699658,37.7869881885,3,False
490,-122.410699658,37.7869881885,3,False
491,-122.410699658,37.7869881885,3,False
492,-122.410699658,37.7869881885,3,False
493,-122.410699658,37.7869881885,3,False
494,-122.410699658,37.7869881885,3,False
495,-122.410699658,37.7869881885,3,False
496,-122.410699658,37.7869881885,3,False
497,-122.410699658,37.7869881885,3,False
498,-122.410699658,37.7869881885,3,False
499,-122.410699658,37.7869881885,3,False
500,-122.410699658,37.7869881885,3,False
501,-122.410699658,37.7869881885,3,False
502,-122.410699658,37.7869881885,3,False
503,-122.410699658,37.7869881885,3,False
504,-122.410699658,37.7869881885,3,False
505,-122.410699658,37.7869881885,3,False
506,-122.410699658,37.7869881885,3,False
507,-122.410699658,37.7869881885,3,False
508,-122.410699658,37.7869881885,3,False
509,-122.410699658,37.7869881885,3,False
510,-122.410699658,37.7869881885,3,False
511,-122.410699658,37.7869881885,3,False
512,-122.410699658,37.7869881885,3,False
513,-122.410699658,37.7869881885,3,False
514,-122.410699658,37.7869881885,3,False
515,-122.408595111,37.7837069302,3,False
516,-122.445217148,37.7827388378,0,False
517,-122.404079634,37.7108555178,1,False
518,-122.411857033,37.788323545,0,False
519,-122.404828019,37.7897596938,3,False
520,-122.395565262,37.7626384173,1,False
521,-122.400916029,37.7854574903,3,False
522,-122.400916029,37.7854574903,3,False
523,-122.400916029,37.7854574903,3,False
524,-122.400916029,37.7854574903,3,False
525,-122.400916029,37.7854574903,3,False
526,-122.400916029,37.7854574903,3,False
527,-122.400916029,37.7854574903,3,False
528,-122.400916029,37.7854574903,3,False
529,-122.400916029,37.7854574903,3,False
530,-122.400916029,37.7854574903,3,False
531,-122.400916029,37.7854574903,3,False
532,-122.400916029,37.7854574903,3,False
533,-122.400916029,37.7854574903,3,False
534,-122.400916029,37.7854574903,3,False
535,-122.400916029,37.7854574903,3,False
536,-122.400916029,37.7854574903,3,False
537,-122.417970955,37.7594884557,1,False
538,-122.40940833,37.7644227956,1,False
539,-122.409336466,37.7925067441,3,False
540,-122.417964484,37.7586968166,1,False
541,-122.417964484,37.7586968166,1,False
542,-122.410699658,37.7869881885,3,False
543,-122.410699658,37.7869881885,3,False
544,-122.410699658,37.7869881885,3,False
545,-122.410699658,37.7869881885,3,False
546,-122.410699658,37.7869881885,3,False
547,-122.410699658,37.7869881885,3,False
548,-122.410699658,37.7869881885,3,False
549,-122.410699658,37.7869881885,3,False
550,-122.410699658,37.7869881885,3,False
551,-122.410699658,37.7869881885,3,False
552,-122.41592985,37.7604330004,1,False
553,-122.408384276,37.7878271137,3,False
554,-122.408231026,37.787359495,3,False
555,-122.41766064,37.755504342,1,False
556,-122.41766064,37.755504342,1,False
557,-122.415543548,37.7621213524,1,False
558,-122.417016664,37.7595460925,1,False
559,-122.422254495,37.7773983117,0,False
560,-122.410721626,37.7870966496,3,False
561,-122.417964484,37.7586968166,1,False
562,-122.414845139,37.7605000726,1,False
563,-122.417964484,37.7586968166,1,False
564,-122.418272166,37.7619029613,1,False
565,-122.416070933,37.7612142237,1,False
566,-122.417964484,37.7586968166,1,False
567,-122.418120086,37.760301234,1,False
568,-122.490170247,37.7424682354,4,False
569,-122.478194247,37.7625630892,4,False
570,-122.416032977,37.7883351248,0,False
571,-122.407114491,37.7899019823,3,False
572,-122.404828019,37.7897596938,3,False
573,-122.414233849,37.7540986882,1,False
574,-122.411800135,37.7840890367,3,False
575,-122.418120086,37.760301234,1,False
576,-122.40840386,37.7882933915,3,False
577,-122.417964484,37.7586968166,1,False
578,-122.416878691,37.7595544125,1,False
579,-122.416331137,37.7588520014,1,False
580,-122.403409085,37.7531779939,1,False
581,-122.403409085,37.7531779939,1,False
582,-122.41766064,37.755504342,1,False
583,-122.411090795,37.7617009782,1,False
584,-122.411090795,37.7617009782,1,False
585,-122.409876623,37.787148808,3,False
586,-122.422188261,37.7726948237,1,False
587,-122.422188261,37.7726948237,1,False
588,-122.481592052,37.7427355501,4,False
589,-122.404828019,37.7897596938,3,False
590,-122.411747372,37.7859988324,3,False
591,-122.408231026,37.787359495,3,False
592,-122.41967178,37.7650501215,1,False
593,-122.418120086,37.760301234,1,False
594,-122.412173946,37.7629167767,1,False
595,-122.412173946,37.7629167767,1,False
596,-122.403404791,37.7754207067,3,False
597,-122.403404791,37.7754207067,3,False
598,-122.417812559,37.7571005796,1,False
599,-122.492316502,37.7423737279,4,False
600,-122.412857127,37.7855804362,0,False
601,-122.405490836,37.7939790012,3,False
602,-122.419058868,37.7594227506,1,False
603,-122.419058868,37.7594227506,1,False
604,-122.419058868,37.7594227506,1,False
605,-122.415629332,37.7572322279,1,False
606,-122.409876623,37.787148808,3,False
607,-122.445474781,37.732396601,2,False
608,-122.417903978,37.7851670876,0,False
609,-122.403404791,37.7754207067,3,False
610,-122.417964484,37.7586968166,1,False
611,-122.417964484,37.7586968166,1,False
612,-122.409155387,37.7863245886,3,False
613,-122.415781282,37.7588312135,1,False
614,-122.408040475,37.7864094034,3,False
615,-122.408247356,37.7878432562,3,False
616,-122.405466576,37.7646048757,1,False
617,-122.405466576,37.7646048757,1,False
618,-122.408247356,37.7878432562,3,False
619,-122.415629332,37.7572322279,1,False
620,-122.412755326,37.7867259286,0,False
621,-122.418562097,37.7841847091,0,False
622,-122.418562097,37.7841847091,0,False
623,-122.417488324,37.765181804,1,False
624,-122.408231026,37.787359495,3,False
625,-122.40840386,37.7882933915,3,False
626,-122.40840386,37.7882933915,3,False
627,-122.408231026,37.787359495,3,False
628,-122.408384276,37.7878271137,3,False
629,-122.380028764,37.7320374278,1,False
630,-122.410111374,37.778632049,3,False
631,-122.410111374,37.778632049,3,False
632,-122.406886504,37.7887345764,3,False
633,-122.406886504,37.7887345764,3,False
634,-122.406886504,37.7887345764,3,False
635,-122.406886504,37.7887345764,3,False
636,-122.406886504,37.7887345764,3,False
637,-122.406886504,37.7887345764,3,False
638,-122.406886504,37.7887345764,3,False
639,-122.406886504,37.7887345764,3,False
640,-122.406886504,37.7887345764,3,False
641,-122.406886504,37.7887345764,3,False
642,-122.406886504,37.7887345764,3,False
643,-122.406886504,37.7887345764,3,False
644,-122.406886504,37.7887345764,3,False
645,-122.406886504,37.7887345764,3,False
646,-122.406886504,37.7887345764,3,False
647,-122.406886504,37.7887345764,3,False
648,-122.406886504,37.7887345764,3,False
649,-122.406886504,37.7887345764,3,False
650,-122.406886504,37.7887345764,3,False
651,-122.406886504,37.7887345764,3,False
652,-122.406886504,37.7887345764,3,False
653,-122.406886504,37.7887345764,3,False
654,-122.406886504,37.7887345764,3,False
655,-122.406886504,37.7887345764,3,False
656,-122.406886504,37.7887345764,3,False
657,-122.406886504,37.7887345764,3,False
658,-122.406886504,37.7887345764,3,False
659,-122.406886504,37.7887345764,3,False
660,-122.406886504,37.7887345764,3,False
661,-122.406886504,37.7887345764,3,False
662,-122.406886504,37.7887345764,3,False
663,-122.406886504,37.7887345764,3,False
664,-122.406886504,37.7887345764,3,False
665,-122.406886504,37.7887345764,3,False
666,-122.410699658,37.7869881885,3,False
667,-122.410699658,37.7869881885,3,False
668,-122.408384276,37.7878271137,3,False
669,-122.417970955,37.7594884557,1,False
670,-122.406886504,37.7887345764,3,False
671,-122.406886504,37.7887345764,3,False
672,-122.406886504,37.7887345764,3,False
673,-122.406886504,37.7887345764,3,False
674,-122.406886504,37.7887345764,3,False
675,-122.406886504,37.7887345764,3,False
676,-122.406886504,37.7887345764,3,False
677,-122.406886504,37.7887345764,3,False
678,-122.406886504,37.7887345764,3,False
679,-122.406886504,37.7887345764,3,False
680,-122.406886504,37.7887345764,3,False
681,-122.406886504,37.7887345764,3,False
682,-122.406886504,37.7887345764,3,False
683,-122.406886504,37.7887345764,3,False
684,-122.406886504,37.7887345764,3,False
685,-122.406886504,37.7887345764,3,False
686,-122.406886504,37.7887345764,3,False
687,-122.406886504,37.7887345764,3,False
688,-122.41382007,37.785738295,0,False
689,-122.41382007,37.785738295,0,False
690,-122.416025191,37.7556559649,1,False
691,-122.406775392,37.7884982866,3,False
692,-122.489090192,37.7424057567,4,False
693,-122.489090192,37.7424057567,4,False
694,-122.404195425,37.7912255174,3,False
695,-122.404195425,37.7912255174,3,False
696,-122.418963082,37.7584203037,1,False
697,-122.408231026,37.787359495,3,False
698,-122.41592985,37.7604330004,1,False
699,-122.400916029,37.7854574903,3,False
